customer_id,age,income,credit_score,purchased,income_age_ratio,risk_score
1,21,73080,592,0,3480.0,0.3393204705882353
2,68,83937,627,1,1234.3676470588234,0.4127725411764705
3,44,42584,637,1,967.818181818182,0.2127530039215686
4,61,43880,801,1,719.344262295082,0.2756696470588235
5,68,65044,531,0,956.529411764706,0.2708891294117647
6,78,102785,548,1,1317.7564102564102,0.4417739607843137
7,19,90336,770,0,4754.526315789473,0.5455585882352941
8,19,124234,745,0,6538.631578947368,0.7259163137254901
9,28,74781,465,1,2670.75,0.272730705882353
10,62,22335,622,1,360.241935483871,0.1089597647058823
11,35,73439,345,1,2098.2571428571428,0.198717294117647
12,71,135479,603,0,1908.1549295774648,0.6407359764705882
13,20,53119,833,0,2655.95,0.3470441333333333
14,71,149053,705,1,2099.3380281690143,0.824175411764706
15,44,126904,324,1,2884.181818181818,0.3224854588235294
16,41,100290,403,0,2446.0975609756097,0.3169950588235294
17,71,130320,317,1,1835.4929577464789,0.324011294117647
18,21,62633,470,1,2982.5238095238096,0.230882431372549
19,67,135601,608,0,2023.89552238806,0.6466306509803922
20,40,109697,738,1,2742.425,0.6349520470588236
21,23,139850,435,0,6080.434782608696,0.477135294117647
22,32,24486,461,0,765.1875,0.088533694117647
23,34,70935,837,0,2086.323529411765,0.4656674117647059
24,47,59162,671,1,1258.7659574468084,0.3113545254901961
25,65,29133,493,0,448.2,0.1126476
26,25,23925,389,0,957.0,0.0729947058823529
27,56,39222,336,0,700.3928571428571,0.1033615058823529
28,43,88320,734,1,2053.953488372093,0.5084461176470588
29,59,39887,414,0,676.0508474576271,0.1295154352941176
30,33,41599,736,0,1260.5757575757575,0.2401322666666666
31,44,88306,315,0,2006.9545454545453,0.2181677647058823
32,27,144114,534,0,5337.555555555556,0.6035833411764706
33,77,52566,650,0,682.6753246753246,0.2679835294117647
34,46,47131,816,1,1024.5869565217392,0.3016384
35,43,99252,849,1,2308.186046511628,0.6609015529411765
36,70,83308,508,0,1190.1142857142856,0.3319252078431373
37,56,29919,656,1,534.2678571428571,0.1539361882352941
38,59,132018,588,0,2237.593220338983,0.6088359529411765
39,76,134120,424,0,1764.7368421052631,0.4460147450980392
40,22,137611,537,0,6255.045454545455,0.5795851529411764
41,58,37878,793,1,653.0689655172414,0.2355863058823529
42,52,124923,318,0,2402.3653846153848,0.3115726588235294
43,35,119823,345,0,3423.514285714285,0.3242269411764706
44,44,99712,387,1,2266.181818181818,0.3026552470588236
45,49,89142,457,0,1819.2244897959183,0.319512894117647
46,54,22950,386,0,425.0,0.06948
47,18,146377,719,1,8132.055555555556,0.8254514745098038
48,49,26089,426,0,532.4285714285714,0.0871679529411764
49,72,102841,502,1,1428.3472222222222,0.404911231372549
50,78,115824,831,1,1484.923076923077,0.7548999529411764
51,58,91572,505,1,1578.8275862068965,0.3626969411764706
52,25,27318,599,0,1092.72,0.1283410352941176
53,33,84470,550,1,2559.696969696969,0.3643803921568628
54,68,110009,728,0,1617.779411764706,0.6281298196078431
55,78,123237,754,0,1579.9615384615386,0.7287897882352942
56,46,95639,797,0,2079.108695652174,0.5978375137254902
57,62,139258,609,1,2246.0967741935483,0.6651617411764705
58,20,90042,766,1,4502.1,0.5409582117647059
59,74,81078,650,0,1095.6486486486488,0.4133388235294117
60,70,54108,446,1,772.9714285714285,0.1892719058823529
61,44,114532,305,1,2603.0,0.2739785098039216
62,32,96333,496,1,3010.40625,0.3747542588235294
63,49,75577,470,1,1542.3877551020407,0.278597568627451
64,19,21091,426,0,1110.0526315789473,0.0704687529411764
65,40,119781,383,1,2994.525,0.3598127294117647
66,33,133448,838,0,4043.878787878788,0.8770935215686274
67,64,99204,763,1,1550.0625,0.5936678588235293
68,63,62658,522,0,994.5714285714286,0.2565292235294117
69,34,142892,817,1,4202.705882352941,0.9156295215686274
70,21,56588,554,1,2694.6666666666665,0.2458804078431372
71,18,59460,649,1,3303.333333333333,0.3026630588235294
72,33,59733,804,1,1810.090909090909,0.3766692705882353
73,24,20575,849,0,857.2916666666666,0.137005294117647
74,58,67249,333,0,1159.4655172413793,0.1756385647058823
75,48,94859,679,1,1976.2291666666667,0.5051706745098039
76,60,80694,655,1,1344.9,0.4145456470588235
77,33,138869,487,0,4208.151515151515,0.5304251215686275
78,67,94030,537,0,1403.4328358208954,0.3960322352941176
79,20,27437,727,0,1371.85,0.1564446980392157
80,29,135240,671,1,4663.448275862069,0.7117336470588235
